movie,n_female,n_male,statistic,p_value,significant
The Matrix (1999),321,170,0.20053142752428071,0.00021296020589439417,True
The Lord of the Rings: The Return of the King (2003),278,149,0.11257302882526196,0.15549245044376495,False
Reservoir Dogs (1992),109,93,0.14787412449442638,0.1960480733780538,False
Heavy Traffic (1973),41,22,0.1574279379157428,0.7967161446321626,False
Memento (2000),130,99,0.19168609168609174,0.027007228859599705,False
Dogville (2003),49,26,0.1491365777080063,0.7762673163001277,False
American Psycho (2000),218,103,0.12946468335263212,0.17204743595662159,False
Kill Bill: Vol. 1 (2003),218,131,0.0720638700189089,0.7552129581388827,False
The Fugitive (1993),60,44,0.18333333333333335,0.31452638455729587,False
Bend it Like Beckham (2002),294,78,0.26609105180533754,0.00024238638673336913,True
Austin Powers in Goldmember (2002),219,110,0.12357824823578248,0.195665188640253,False
The Mummy Returns (2001),198,99,0.045454545454545414,0.9990134982077044,False
The Nightmare Before Christmas (1993),428,126,0.08470553330366415,0.45789066197452977,False
La La Land (2016),435,119,0.07431662320100452,0.6477192941603374,False
Flowers in the Attic (1987),91,21,0.18315018315018314,0.5575617121100845,False
28 Days Later (2002),104,71,0.18296316359696646,0.10139681199274285,False
The Princess Bride (1987),396,98,0.058441558441558406,0.933727536409381,False
The Green Mile (1999),109,69,0.08669059965430131,0.8724647442217421,False
Predator (1987),98,81,0.15318720080624842,0.21924021554430134,False
A Night at the Roxbury (1998),64,40,0.109375,0.8970917699701115,False
Ed Wood (1994),41,26,0.3227016885553471,0.05591241611611782,False
Aliens (1986),99,89,0.2164340029508569,0.019971307208391638,False
Meet the Parents (2000),296,89,0.05545854843607645,0.9749123395821899,False
Independence Day (1996),198,125,0.08121212121212121,0.6535593208935843,False
Who Framed Roger Rabbit (1988),196,83,0.14636095402016236,0.14582774448659644,False
As Good as it Gets (1997),68,29,0.16480730223123735,0.569846433685973,False
Butch Cassidy and the Sundance Kid (1969),55,43,0.10866807610993656,0.8973726464320525,False
You're Next (2011),79,34,0.11317944899478782,0.8765798002495069,False
The Final Conflict (1981),35,20,0.14285714285714288,0.9266846776700133,False
City of God (2002),62,51,0.2700822264389626,0.026385383066427914,False
Star Wars: Episode VII - The Force Awakens (2015),298,180,0.04384787472035795,0.9736701735539581,False
The Transporter (2002),114,77,0.13670539986329455,0.3194413667487548,False
Cast Away (2000),232,93,0.12592695587690017,0.2196716322228814,False
Bad Boys 2 (2003),93,68,0.11290322580645157,0.6451762927336784,False
The Babadook (2014),187,92,0.15136014880260407,0.10410047256760235,False
Saw (2004),238,121,0.14000972289742342,0.07629904971703581,False
Star Wars: Episode VI - The Return of the Jedi (1983),273,173,0.10205594020622924,0.20193145287977476,False
Scary Movie (2000),208,103,0.08317774458551164,0.6893652873359064,False
E.T. The Extra-Terrestrial (1982),423,156,0.04996362975086377,0.9214705426607376,False
American History X (1998),72,50,0.07222222222222223,0.9933003138829087,False
FeardotCom (2002),38,17,0.22136222910216716,0.5243220676379966,False
Halloween (1978),128,69,0.09556159420289856,0.7613912356717633,False
Along Came a Spider (2002),43,25,0.16837209302325584,0.6863445603443414,False
The Mist (2007),106,61,0.20940303124033405,0.055883533924897026,False
Aladdin (1992),625,176,0.1478454545454545,0.004330152983479548,True
Pirates of the Caribbean: The Curse of the Black Pearl (2003),489,174,0.058564276144136396,0.7433978575558542,False
Men in Black (1997),383,172,0.07313740967879045,0.519577693575342,False
Eternal Sunshine of the Spotless Mind (2004),220,74,0.10761670761670761,0.498444578335096,False
Ocean's Eleven (2001),231,122,0.15321836633312041,0.041215014653485274,False
Men in Black II (2002),323,164,0.08530921996526464,0.37961347489969505,False
Cocktail (1988),40,20,0.15000000000000002,0.9175586699280374,False
The Wolf of Wall Street (2013),479,183,0.1820048598514665,0.000257577856782325,True
The Game (1997),53,30,0.07484276729559747,0.9992993557886942,False
Red Sonja (1985),36,23,0.17874396135265713,0.6790336552595815,False
One Flew Over the Cuckoo's Nest (1975),190,74,0.19217638691322897,0.03322756769592264,False
Freddy Got Fingered (2001),39,25,0.27589743589743587,0.15690826005998876,False
The Village (2004),73,44,0.12920298879202985,0.689677784076544,False
Miller's Crossing (1990),35,30,0.23809523809523808,0.27137768875868146,False
My Best Friend's Wedding (1997),174,27,0.25925925925925924,0.07075259628348111,False
Iron Man 3 (2013),391,184,0.12148337595907921,0.045249610893871535,False
Big Daddy (1999),168,63,0.0873015873015873,0.8474449264020123,False
Suspiria (1977),40,24,0.17500000000000004,0.692786643042147,False
The Passenger (1975),71,24,0.2752347417840375,0.10068834016817473,False
The Station Agent (2003),39,25,0.17435897435897438,0.6653083784923481,False
Jurassic Park (1993),412,181,0.11600868958858551,0.06146768321554872,False
Captain America: Civil War (2016),366,165,0.10208643815201193,0.17173607656731688,False
A Perfect Murder (1998),59,23,0.17391304347826086,0.6230089814685598,False
Analyze That (2002),46,31,0.1774193548387097,0.5333896297623943,False
Braveheart (1995),132,72,0.11489898989898994,0.5286534481136996,False
Inception (2010),513,197,0.11326822414185492,0.047162706157872464,False
Groundhog Day (1993),205,79,0.15937017598024084,0.09680185136214682,False
The Lookout (2007),38,22,0.17464114832535887,0.7131708224511579,False
21 Grams (2003),40,27,0.22592592592592575,0.3284370938314586,False
Gladiator (2000),174,123,0.2381553125876086,0.00043706664409623864,True
Midnight Cowboy (1969),48,28,0.15178571428571427,0.7489616226108528,False
Fatal Attraction (1987),91,32,0.2190934065934066,0.17370909033016413,False
House of Sand and Fog (2003),44,21,0.17857142857142855,0.6709200230179293,False
On Golden Pond (1981),48,15,0.15833333333333335,0.8939155820674066,False
The Mummy (1999),241,120,0.11123789764868602,0.2449330250861011,False
The Descent (2005),75,38,0.13052631578947366,0.7117236619090648,False
Runaway Bride (1999),116,26,0.15119363395225466,0.6566419448901079,False
