movie,n_only,n_siblings,statistic,p_value,significant
Rush Hour 2 (2001),73,353,0.07334394039349601,0.873085468836962,False
Bruce Almighty (2003),67,461,0.09521805290251562,0.6251284614812641,False
Girl With a Pearl Earring (2003),27,98,0.1368102796674225,0.7643158325138426,False
Grown Ups 2 (2013),71,383,0.06880447173905058,0.9173498345245207,False
Best Laid Plans (1999),13,39,0.1538461538461538,0.9670362906184468,False
Bram Stoker's Dracula (1992),26,82,0.06754221388367729,0.9998772825695605,False
Fahrenheit 9/11 (2004),32,106,0.14917452830188677,0.5842830744805303,False
Donnie Darko (2001),37,206,0.1612437680398846,0.3460323607057735,False
Bad Teacher (2011),76,380,0.08684210526315789,0.7048978069681163,False
Cable Guy (1996),20,78,0.16025641025641024,0.7394410675940705,False
Ice Age (2002),142,731,0.0347970173985086,0.9975982506604362,False
Misery (1990),21,114,0.14912280701754388,0.7681958566460214,False
8 Mile (2002),50,277,0.1548014440433213,0.23379970128850788,False
Harry Potter and the Deathly Hallows: Part 2 (2011),136,684,0.04656862745098034,0.9548772062315095,False
Ouija: Origin of Evil (2016),41,152,0.07637997432605903,0.9821915963170984,False
The Deer Hunter (1978),17,61,0.20057859209257478,0.582110933930647,False
There's Something About Mary (1998),33,165,0.24848484848484853,0.05927908519365458,False
Zoolander (2001),68,402,0.04726368159203981,0.9985981110393853,False
The Core (2003),20,63,0.1333333333333333,0.9111399049313333,False
Spirited Away (2001),91,444,0.06860706860706861,0.8409925214376465,False
Rocky (1976),49,262,0.08957781585916808,0.8613039284619858,False
Traffic (2000),17,66,0.13101604278074863,0.9429276417115191,False
Monsters  Inc.(2001),147,770,0.05782312925170063,0.7786626729958098,False
Thoroughly Modern Millie (1967),21,79,0.09584086799276681,0.9926037657916887,False
Requiem for a Dream (2000),35,173,0.08042939719240294,0.9821815048814918,False
Downfall (2004),16,54,0.125,0.9741372018247171,False
L.A. Confidential (1997),19,60,0.18421052631578938,0.6314796175632862,False
Chicago (2002),43,195,0.09910554561717354,0.8400624740157441,False
Star Wars: Episode 1 - The Phantom Menace (1999),76,370,0.12859174964438114,0.2252524839095957,False
Rain Man (1988),37,165,0.11990171990171994,0.7253253324306829,False
What Lies Beneath (2000),16,53,0.20872641509433965,0.5781422469947491,False
Toy Story (1995),144,772,0.16414795624640177,0.002495966424943447,True
Boy's Don't Cry (1999),21,82,0.08478513356562128,0.998496982706437,False
Pearl Harbor (2001),49,214,0.08859431623116537,0.8805206614080198,False
A.I. Artificial Intelligence (2001),29,113,0.09002136100091546,0.9813268906094947,False
The Sting (1973),18,74,0.2627627627627627,0.22379578194673275,False
Scream 3 (2000),45,190,0.08771929824561409,0.9156277142362523,False
Congo (1995),16,51,0.09681372549019607,0.9986024458525442,False
Bowling For Columbine (2002),23,95,0.19954233409610989,0.39202015769669896,False
What Women Want (2000),30,110,0.08181818181818182,0.9937067277773717,False
Home Alone (1990),130,718,0.019605742446968,0.9999999998695459,False
How the Grinch Stole Christmas (2000),113,622,0.08062772102552432,0.5336715161745081,False
The Straight Story (1999),13,50,0.20153846153846156,0.719126191367523,False
The Hulk (2003),77,361,0.06558261682915423,0.9277406429482739,False
Gigli (2002),15,55,0.1272727272727273,0.9788955947670547,False
Rocky V (1991),33,150,0.22969696969696968,0.09642311296098505,False
The Visit (2015),44,148,0.06695331695331697,0.9948126544917448,False
Titanic (1997),142,726,0.07096573933961897,0.5599512424432906,False
A Clockwork Orange (1971),43,219,0.09323563767654242,0.8806587365419647,False
Charlie's Angels (2000),63,336,0.08829365079365081,0.7699887104095209,False
Friday the 13th Part III (1982),31,131,0.08987934006402365,0.9737087319400224,False
Hannibal (2001),45,162,0.07777777777777783,0.9710504649451975,False
Pulp Fiction (1994),76,405,0.05376868096166343,0.9868733546509787,False
Crimson Tide (1995),16,56,0.1696428571428572,0.8191310103364978,False
Blow (2001),19,73,0.3287671232876712,0.05801602067679257,False
Ran (1985),15,51,0.3333333333333333,0.11924082417745889,False
Mulholland Dr. (2001),23,94,0.10407030527289546,0.9720890429536583,False
Apocalypse Now (1979),30,137,0.1347931873479319,0.7049153188377526,False
Cinema Paradiso (1988),19,82,0.2779204107830551,0.1492399174910076,False
Double Jeopardy (1999),20,75,0.18333333333333335,0.5983433564280854,False
The Big Lebowski (1998),33,179,0.09327916031826647,0.9463360111428828,False
The Matrix (1999),91,404,0.06838211293656826,0.8501251512417265,False
The Lord of the Rings: The Return of the King (2003),82,351,0.09804739073031754,0.5087796217538075,False
Reservoir Dogs (1992),38,165,0.2515151515151515,0.03286432048293334,False
Heavy Traffic (1973),16,47,0.261968085106383,0.3205555686150796,False
Memento (2000),45,186,0.05985663082437276,0.9981843763416159,False
Dogville (2003),20,55,0.09090909090909088,0.9986312383359113,False
American Psycho (2000),54,269,0.19206939281288724,0.06048224531897311,False
Kill Bill: Vol. 1 (2003),60,289,0.07070357554786622,0.9469730001934058,False
The Fugitive (1993),17,88,0.11029411764705888,0.9851705851729633,False
